lyrics,mood,embedding
thing guess thing know boy trust girl little thing hide little thing show sometimes think going get way go swear tease tell lie yeah need bible look eye waited long baby friend man got patience mine end want sex want love want sex want sex playing mind dancing soul taken much time let go would really like try oh would really love know tell going regret tell love still say swear tease tell lie yeah need bible look eye room waited long baby cold take much girl looking control want sex want love,1,"[-0.00764936 -0.00714602  0.0047883  ... -0.01896775  0.02234539
 -0.03706129]"
karl baby baby name knew crazy tiny behind would slaughtering alice belly need dog one two three kill motherfucker running hill one two three met tucked fuck hussy liquor take wicker hussy liquor quicker yeah like get tucked tucked yeah like get tucked,0,"[-0.01274323  0.00663161  0.01765194 ... -0.02254678  0.00289288
  0.01087126]"
would like swing star carry moonbeam home jar better would rather mule mule animal long funny ear lick anything hears back brawny brain weak plain stupid stubborn streak way hate go school may grow mule would like swing star carry moonbeam home jar,1,"[-0.02450078 -0.00208998 -0.00594868 ... -0.01263873 -0.00617815
 -0.03589681]"
head wood wood head wood wood another one another one week week wood wood ear talking whole bunch shit trying hear met back motherfucker know like met back motherfucker know like week week wood wood plain around take one false move take met back motherfucker know like met back motherfucker know like ssso come come get swung swung knockknack paddywhack still riding cadillacs family street made home put maggie back still stain place yep still action packed yep dough keep slipping like croat pack mac crack back waist heat attack speaking ball ball must thinking brain til start berlin together bird feather must bought plane changing weather put rake cap put case knock block get dropped face flown prove scratch music like key little stupid make lose week week wood wood ear talking whole bunch shit trying hear met back motherfucker know like met back motherfucker know like,0,"[-0.02201814 -0.00607799  0.00558008 ... -0.00189379 -0.0081452
 -0.02634485]"
sky made amethyst star look like little fish learn go learn say right last day line forever right last day line forever get want never want get want never want take everything take everything want take everything take everything want,0,"[-0.00709945  0.00231141  0.02193881 ... -0.01034258 -0.01346307
 -0.03602871]"
next thursday invited watch rising side live coverage gale tribute salute donald began pale harbour join special guest lady margaret thatched celebrating former president birthday picket dollar plate see event free gop image perfection sultan naval grenade haiti poland nicaragua shall choose morality thinking right hollywood tragedy fig mac smack phoenix r please smile cuba mexico cauterise discipline idol speak much abyss met moral run deep surface,0,"[-0.0331893  -0.01903972  0.01830186 ... -0.00065964  0.00504929
 -0.01120537]"
maybe joke maybe fool eye maybe weak one maybe lie disguise maybe angry one whose always wrong maybe one whose strong think pull pull would live without ever really doubt understand baby say done maybe one going leave yeah better get going wasting time,3,"[-0.02197467 -0.00324657 -0.00105414 ... -0.00875933  0.00782232
 -0.02436231]"
worn dark black cloak night envelope prey deliver light eliminate enemy hit sleep lost spoil war keep great nation built bone dead mud straw blood sweat know worth enemy raise architecture aggression raise architecture aggression,0,"[-0.001527   -0.01750727  0.00787408 ... -0.0073645   0.0061429
 -0.02207256]"
love gas soon turned heart glass seemed like real thing find distrust love gone behind love divine soon found losing mind seemed like real thing blind distrust love gone behind find pleasing feeling fine love confusing peace mind fear losing,1,"[-0.00222139 -0.00017864  0.01679288 ... -0.01372234  0.01130395
 -0.0248089 ]"
impossible raw woman know hard please help ask kindly make get knee god bless hungry woman impossible ever keep breath never tasted sweet need need need freedom,2,"[-0.01515563 -0.02052181 -0.02537494 ...  0.01718008  0.01433753
 -0.00748075]"
well walk upon river like easier land evil pocket hand oh hand throw current stand upon still love heard heart learned kill oh mine learned kill oh said could rise harness goal come tear like always let go must let go,3,"[-0.0146498  -0.01522591  0.01221502 ... -0.01119996  0.0166662
 -0.019245  ]"
silent real speak one hear wear mask somewhere hide silence golden broken safe skin nobody win raise voice someone get hurt feel get touched truth spoken lie hide silence golden,0,"[-0.00381648 -0.00709695  0.00836571 ... -0.03191591 -0.0085082
 -0.01622935]"
half mile county fair rain came pouring silly standing silver half crown hand full fishing rod tackle back stood getting wet back fence oh water oh water oh water hope rain day stoned soul stoned like belly toll stoned stoned soul stoned like going home stoned rain let sun came getting dry,2,"[-0.00525827 -0.00518359  0.01037398 ...  0.00365941 -0.01000057
 -0.01727185]"
way misery happiness today way misery happiness today way want world year make next world everything receive yonder gave day wandered took right took right turning yesterday took right took right turning yesterday took road brought hometown took bus street could walk walked street find one would looked climbed stair led front door,1,"[ 0.00402977  0.00170253  0.01823349 ... -0.01120371  0.0151717
 -0.031991  ]"
nigga gun go see barrel turning feel hollow burning nigga learning nigga gun go attempted murder nigga trying mere come back austin nigga gun go try say tripping get slipping smack clip nigga gun go call putting work leaving night hurting homocides learn nigga gun go luck boy see believe bryan dodge wave end paraplegia believe easy hurt mere pop summon drop summon going stop hunting run run till spun one shot one gun one emergency murder b excellent execution pulling trigger mistake cake hitting night feel flame aim top brain see spark bang nigga shit game path get blast,0,"[-2.96985824e-02 -4.32100169e-05 -8.29974189e-03 ... -3.38005945e-02
 -6.88796537e-03 -6.01970591e-03]"
bartender next shot tutuila vice tonight yeah sweet ah man spot sweet señorita bounce bass di sweeter look may sonata way move remind helena rock slow dip slow dance regime calypso took dress hug pon hip took move fast slow buy sonata mamacita royal whine let come behind ouh oh make feel alright would dance night ouh want oh oil morning light love feel front royal let hold tight took de get anna di arena number one goal prima wallerian sickle girl come nut drink smoke sinsemilla,1,"[-7.82999489e-03 -1.17344772e-02 -7.36033544e-04 ... -1.66553874e-02
  9.83130536e-04 -3.18181155e-05]"
away searching reason another purpose find sailed sea ought many demon looked god sky stood hell many suffer stared devil eye talked many road witness ancient idol found great gate fire many storm question conviction army reason rise,0,"[ 0.01011466 -0.01760143 -0.00757573 ...  0.00225493 -0.00155775
 -0.01349534]"
afraid anything need know breathe need much anything suddenly suddenly small world big around fast moving surrounded many thing suddenly suddenly feel different feel different feel young free get tired get weak get lost sleep,3,"[ 0.00178785  0.01069722  0.0177291  ...  0.00101013 -0.00887119
 -0.03896419]"
two great european narcotic alcohol christianity know one prefer never went church must get work sometimes thingsll hurt hit since left u hard search still would ask supposed get bit scared hope made proud birthday mon passed fork spoon put head table distraught,3,"[ 0.01251997 -0.00472622  0.01376225 ...  0.00762719  0.0283712
 -0.01089599]"
verse one bushwick told size shit murdered niece fault found head cut piece let run hurry catch grab arm grab arm let u pull till stretch lay hussy get tucked mean better dead want see food fished child head motherfucker worried sick head head frog leg mmm cake mix friday night living dead walking round given night head die would say got lucky body found dead luck blame chuckle child play motherfucka verse w fuck chuck killing spree give bare start killing murder tried slack missile blew little girl back name chuckle say insane give gin might eat dog brain give motherfuckin pack,0,"[-0.00224265  0.00549535  0.00324414 ... -0.03333502 -0.02465203
 -0.0302946 ]"
sun shine high sound laughter bird stoop upon cross old grey church,2,"[ 1.09513719e-02  3.33940516e-05 -2.40082643e-03 ... -1.78718921e-02
 -2.52762483e-03 -1.36675267e-02]"
belong never saw path walk bloodstained wall line chalk floor getting hard never saw backwash tide began rise remember way everything felt right mouth held shut eye sealed tight control remember inside found dark infernal place want face anymore somehow stop feeding pain heart found dark infernal place want face anymore somehow stuck guilty insincere word spoke left alone known never saw backwash tide began rise wish gone could burned choice,3,"[ 0.00246743 -0.00850431  0.01351541 ... -0.01324511  0.00815083
 -0.02952598]"
cut heart section show objection better alone better alone strange elation shadow assassination thought saw glimmer hope thought saw glimmer hope think could ever understand everyone keep falling think could ever understand everyone keep falling think could ever understand everyone keep falling think could ever understand everyone keep falling could stay middle speak riddle,3,"[ 0.00031726  0.00479658  0.03000797 ... -0.01167743  0.00090497
 -0.03674389]"
sun rise another day constitution keep changing til slip away lie awake stare mind thinking wondering anybody care stay go sleep stay awake really happy must illusion sitting room riding thought hoping one day get,0,"[ 0.00576465  0.01081906  0.00547159 ...  0.00157304  0.01461849
 -0.0434969 ]"
give give give give met give give give give give give give give met go go met go go met go go met go go go go give go go,2,"[-0.02569952 -0.01589014 -0.00421309 ... -0.02894704  0.01075157
 -0.00833931]"
